,isolate,host,isolation_source,collection_date,env_broad_scale,env_local_scale,env_medium,geo_loc_name,lat_lon,source_uvig,virus_enrich_appr,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,collected_by,sequenced_by,BioSampleModel,experiment_id,SRA_id
SRR23055967,wastewater,SARS-CoV-2,environmental,2022-06-06,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Nagasandra",13.0395 N 77.5000 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055967,SRX19009490
SRR23055969,wastewater,SARS-CoV-2,environmental,2022-06-04,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Lalbagh",12.9507 N 77.5848 E,viral single amplified genome (vSAG),ultracentrifugation,15000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055969,SRX19009488
SRR23055970,wastewater,SARS-CoV-2,environmental,2022-06-04,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055970,SRX19009487
SRR23055971,wastewater,SARS-CoV-2,environmental,2022-06-02,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055971,SRX19009486
SRR23055973,wastewater,SARS-CoV-2,environmental,2022-06-01,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 1 (248MLD)",12.942076 N 77.654299 E,viral single amplified genome (vSAG),ultracentrifugation,2480000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055973,SRX19009484
SRR23055972,wastewater,SARS-CoV-2,environmental,2022-06-01,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Agaram",12.9580 N 77.6308 E,viral single amplified genome (vSAG),ultracentrifugation,350000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055972,SRX19009485
SRR23055974,wastewater,SARS-CoV-2,environmental,2022-05-31,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055974,SRX19009483
SRR23055975,wastewater,SARS-CoV-2,environmental,2022-05-30,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055975,SRX19009482
SRR23055977,wastewater,SARS-CoV-2,environmental,2022-05-28,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055977,SRX19009480
SRR23055978,wastewater,SARS-CoV-2,environmental,2022-05-28,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055978,SRX19009479
SRR23055979,wastewater,SARS-CoV-2,environmental,2022-05-27,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055979,SRX19009478
SRR23055980,wastewater,SARS-CoV-2,environmental,2022-05-24,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055980,SRX19009477
SRR23055982,wastewater,SARS-CoV-2,environmental,2022-05-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055982,SRX19009475
SRR23055981,wastewater,SARS-CoV-2,environmental,2022-05-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Lalbagh",12.9507 N 77.5848 E,viral single amplified genome (vSAG),ultracentrifugation,15000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055981,SRX19009476
SRR23055984,wastewater,SARS-CoV-2,environmental,2022-05-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Horamavu Agara",13.0411 N 77.6622 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23055984,SRX19009441
SRR23056019,wastewater,SARS-CoV-2,environmental,2022-05-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056019,SRX19009439
SRR23056018,wastewater,SARS-CoV-2,environmental,2022-05-21,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056018,SRX19009440
SRR23056022,wastewater,SARS-CoV-2,environmental,2022-05-20,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056022,SRX19009436
SRR23056023,wastewater,SARS-CoV-2,environmental,2022-05-20,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056023,SRX19009435
SRR23056020,wastewater,SARS-CoV-2,environmental,2022-05-20,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056020,SRX19009438
SRR23056024,wastewater,SARS-CoV-2,environmental,2022-05-19,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056024,SRX19009434
SRR23056025,wastewater,SARS-CoV-2,environmental,2022-05-19,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056025,SRX19009433
SRR23056026,wastewater,SARS-CoV-2,environmental,2022-05-18,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 2 (60MLD)",12.940295 N 77.65492 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056026,SRX19009432
SRR23056027,wastewater,SARS-CoV-2,environmental,2022-05-17,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Halasuru",12.9817 N 77.6284 E,viral single amplified genome (vSAG),ultracentrifugation,20000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056027,SRX19009431
SRR23056028,wastewater,SARS-CoV-2,environmental,2022-05-17,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056028,SRX19009430
SRR23056029,wastewater,SARS-CoV-2,environmental,2022-05-17,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056029,SRX19009429
SRR23056030,wastewater,SARS-CoV-2,environmental,2022-05-14,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Halasuru",12.9817 N 77.6284 E,viral single amplified genome (vSAG),ultracentrifugation,20000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056030,SRX19009428
SRR23056031,wastewater,SARS-CoV-2,environmental,2022-05-14,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056031,SRX19009427
SRR23056034,wastewater,SARS-CoV-2,environmental,2022-05-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Mailasandra Ph-I",12.9178 N 77.4943 E,viral single amplified genome (vSAG),ultracentrifugation,750000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056034,SRX19009424
SRR23056035,wastewater,SARS-CoV-2,environmental,2022-05-13,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056035,SRX19009423
SRR23056036,wastewater,SARS-CoV-2,environmental,2022-05-12,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056036,SRX19009422
SRR23056037,wastewater,SARS-CoV-2,environmental,2022-05-10,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Lalbagh",12.9507 N 77.5848 E,viral single amplified genome (vSAG),ultracentrifugation,15000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056037,SRX19009421
SRR23056038,wastewater,SARS-CoV-2,environmental,2022-05-09,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabanavara",13.3959 N 76.1914 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056038,SRX19009420
SRR23056039,wastewater,SARS-CoV-2,environmental,2022-05-05,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Sarakki",12.8994 N 77.5799 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056039,SRX19009419
SRR23056040,wastewater,SARS-CoV-2,environmental,2022-05-05,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kadabeesanahalli Ph-I",12.9394 N 77.6952 E,viral single amplified genome (vSAG),ultracentrifugation,500000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056040,SRX19009418
SRR23056041,wastewater,SARS-CoV-2,environmental,2022-05-05,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056041,SRX19009417
SRR23056042,wastewater,SARS-CoV-2,environmental,2022-05-04,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 1 (248MLD)",12.942076 N 77.654299 E,viral single amplified genome (vSAG),ultracentrifugation,2480000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056042,SRX19009416
SRR23056043,wastewater,SARS-CoV-2,environmental,2022-05-03,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Rajacanal",13.046082 N 77.646433 E,viral single amplified genome (vSAG),ultracentrifugation,400000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056043,SRX19009415
SRR23056045,wastewater,SARS-CoV-2,environmental,2022-05-03,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056045,SRX19009413
SRR23056046,wastewater,SARS-CoV-2,environmental,2022-05-03,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Jakkur",13.0631 N 77.6207 E,viral single amplified genome (vSAG),ultracentrifugation,150000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056046,SRX19009412
SRR23056050,wastewater,SARS-CoV-2,environmental,2022-04-30,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Hebbal",13.0354 N 77.5988 E,viral single amplified genome (vSAG),ultracentrifugation,1000000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056050,SRX19009300
SRR23056047,wastewater,SARS-CoV-2,environmental,2022-04-30,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Cubbon Park",12.9779 N 77.5952 E,viral single amplified genome (vSAG),ultracentrifugation,40000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056047,SRX19009411
SRR23056048,wastewater,SARS-CoV-2,environmental,2022-04-30,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kempambudhi",12.9518 N 77.5602 E,viral single amplified genome (vSAG),ultracentrifugation,10000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056048,SRX19009410
SRR23056160,wastewater,SARS-CoV-2,environmental,2022-04-28,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Sarakki",12.8994 N 77.5799 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056160,SRX19009298
SRR23056159,wastewater,SARS-CoV-2,environmental,2022-04-28,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Chikkabegur",12.8867 N 77.6386 E,viral single amplified genome (vSAG),ultracentrifugation,50000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056159,SRX19009299
SRR23056161,wastewater,SARS-CoV-2,environmental,2022-04-28,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Bellandur Amani kere",12.9436 N 77.7209 E,viral single amplified genome (vSAG),ultracentrifugation,900000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056161,SRX19009297
SRR23056163,wastewater,SARS-CoV-2,environmental,2022-04-27,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K & C Valley 1 (248MLD)",12.942076 N 77.654299 E,viral single amplified genome (vSAG),ultracentrifugation,2480000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056163,SRX19009295
SRR23056165,wastewater,SARS-CoV-2,environmental,2022-04-27,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Horamavu Agara",13.0411 N 77.6622 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056165,SRX19009293
SRR23056166,wastewater,SARS-CoV-2,environmental,2022-04-27,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,K R Puram",13.0170 N 77.7044 E,viral single amplified genome (vSAG),ultracentrifugation,200000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056166,SRX19009292
SRR23056162,wastewater,SARS-CoV-2,environmental,2022-04-27,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Agaram",12.9580 N 77.6308 E,viral single amplified genome (vSAG),ultracentrifugation,350000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056162,SRX19009296
SRR23056167,wastewater,SARS-CoV-2,environmental,2022-04-26,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Lalbagh",12.9507 N 77.5848 E,viral single amplified genome (vSAG),ultracentrifugation,15000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056167,SRX19009291
SRR23056168,wastewater,SARS-CoV-2,environmental,2022-04-26,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056168,SRX19009290
SRR23056169,wastewater,SARS-CoV-2,environmental,2022-04-25,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056169,SRX19009289
SRR23056170,wastewater,SARS-CoV-2,environmental,2022-04-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Cubbon Park",12.9779 N 77.5952 E,viral single amplified genome (vSAG),ultracentrifugation,40000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056170,SRX19009288
SRR23056171,wastewater,SARS-CoV-2,environmental,2022-04-23,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Halasuru",12.9817 N 77.6284 E,viral single amplified genome (vSAG),ultracentrifugation,20000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056171,SRX19009287
SRR23056172,wastewater,SARS-CoV-2,environmental,2022-04-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056172,SRX19009286
SRR23056173,wastewater,SARS-CoV-2,environmental,2022-04-22,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Yelahanka Ph-I",13.1155 N 77.6070 E,viral single amplified genome (vSAG),ultracentrifugation,100000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056173,SRX19009285
SRR23056174,wastewater,SARS-CoV-2,environmental,2022-04-07,sewage,urbanized area,environmental material[ENVO_00010483]|waste material[ENVO:00002264]|waste water[ENVO:00002001],"India:Bengaluru,Kengeri",12.8997 N 77.4827 E,viral single amplified genome (vSAG),ultracentrifugation,600000,168,missing,missing,"TATA INSTITUTE FOR GENETICS AND SOCIETY, Banaglore, INDIA","National Centre for Biological Sciences, Bangalore",MIUVIG.wastewater,SRR23056174,SRX19009284
