,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id,geo_loc_name,isolation_source,collected_by,purpose_of_ww_sampling,ww_sample_site,ww_population,ww_surv_jurisdiction,ww_sample_matrix,ww_sample_type,ww_sample_duration,ww_surv_system_sample_id,ww_processing_protocol,concentration_method,extraction_method,ww_surv_target_1,ww_surv_target_1_known_present,sequenced_by,BioSampleModel,amplicon_PCR_primer_scheme,sample,fasta_file,collection_site_id,ww_population_source,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,enrichment_kit,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,isolate,host,env_broad_scale,env_local_scale,env_medium,lat_lon,source_uvig,virus_enrich_appr,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,ww_surv_target_2_gene,ww_surv_target_2_known_present,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,ww_primary_sludge_retention_time,geo_loc_ENA,site id
SRR25726250,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726250,SRX21450544,USA: Kansas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,66377.0,ks,raw wastewater,composite,23,7747.AD,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,gaNh52fdj6nv
SRR25726271,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726271,SRX21450523,USA: Tennessee,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,52000.0,tn,raw wastewater,composite,24,8560.C,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,oGounECky64U
SRR25726365,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726365,SRX21450429,USA: Connecticut,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,75000.0,ct,raw wastewater,composite,24,10988.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,K45JbJKEBLKa
SRR25726255,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726255,SRX21450539,USA: Wyoming,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,12000.0,wy,post grit removal,composite,24,8698.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,8nPz9XJCvsyE
SRR25757798,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,3PF00000601_08132023,,,,,,SRR25757798,SRX21480652,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,377378,oh,raw wastewater,composite,24,3PF00000601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0023833,utility provided information,bcov vaccine,10239.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,217888302.3,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0023833
SRR25757755,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00018_08132023,,,,,,SRR25757755,SRX21480696,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,8655,oh,raw wastewater,composite,24,2PD00018_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0020532,utility provided information,bcov vaccine,91074.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,3251668.722,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0020532
SRR25726382,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726382,SRX21450412,USA: Arkansas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,32043.0,ar,post grit removal,composite,23,10732.U,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,KbGNDm44pso7
SRR25757760,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,2PD00013601_08132023,,,,,,SRR25757760,SRX21480691,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,23027,oh,raw wastewater,composite,24,2PD00013601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0024899,utility provided information,bcov vaccine,9987.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,9618731.343,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024899
SRR25726320,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726320,SRX21450474,USA: Arkansas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,23812.0,ar,post grit removal,composite,25,10732.V,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,8o2Q4GRCkp4x
SRR25726389,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726389,SRX21450405,USA: Indiana,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,98000.0,in,raw wastewater,composite,24,10713.A,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,2qgBBj9cQW4H
SRR25757727,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,1PK00006601_08132023,,,,,,SRR25757727,SRX21480724,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,125247,oh,raw wastewater,composite,24,1PK00006601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,no,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0025470,utility provided information,bcov vaccine,10155.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,45019902.35,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0025470
SRR25757673,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,3PE00002601_08132023,,,,,,SRR25757673,SRX21480749,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,31430,oh,raw wastewater,composite,24,3PE00002601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0023914,utility provided information,bcov vaccine,98695.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,11659068.29,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0023914
SRR25726423,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726423,SRX21450371,USA: Washington,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,800,wa,post grit removal,composite,20,10944.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,5iST3iXYPEzq
SRR25757743,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,2PF00000_08132023,,,,,,SRR25757743,SRX21480708,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,372208,oh,raw wastewater,composite,24,2PF00000_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0027740,utility provided information,bcov vaccine,21439.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,155580424.3,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0027740
SRR25726324,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726324,SRX21450470,USA: Hawaii,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,48519.0,hi,raw wastewater,composite,24,10792.O,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,9cRX5rQR7JHT
SRR25757679,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,4PE00001_08132023,,,,,,SRR25757679,SRX21480772,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,45000,oh,raw wastewater,composite,24,4PE00001_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0026671,utility provided information,bcov vaccine,73684.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,20214098.93,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026671
SRR25726266,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726266,SRX21450528,USA: Massachusetts,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,12000.0,ma,raw wastewater,composite,24,11038.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,Vd5sgvsKjoQZ
SRR25726405,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726405,SRX21450389,USA: New York,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,684569.0,nz,raw wastewater,composite,21,9359.BC,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,KMeLs3XnYug7
SRR25757767,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,0PQ00000_08132023,,,,,,SRR25757767,SRX21480684,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,13169,oh,raw wastewater,composite,24,0PQ00000_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0049999,utility provided information,bcov vaccine,18829.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,11848338.88,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0049999
SRR25757713,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,3PD00013_08132023,,,,,,SRR25757713,SRX21480738,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,27000,oh,raw wastewater,composite,24,3PD00013_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0028185,utility provided information,bcov vaccine,14618.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,17439392.09,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0028185
SRR25726422,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726422,SRX21450372,USA: Alabama,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,11000.0,al,raw wastewater,composite,24,10413.H,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,WkNZ2xhNcF2x
SRR25726262,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726262,SRX21450532,USA: Florida,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,277823.0,fl,raw wastewater,composite,24,10786.P,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,hT7AKtZiq8nf
SRR25757779,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,0PD00005_08132023,,,,,,SRR25757779,SRX21480672,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,13572,oh,raw wastewater,composite,24,0PD00005_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0024945,utility provided information,bcov vaccine,63368.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,6132367.09,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024945
SRR25726454,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726454,SRX21450340,USA: California,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,13000.0,ca,raw wastewater,composite,23,10415.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,T4sZ9Xuvaggr
SRR25726430,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726430,SRX21450364,USA: New York,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,848328.0,nz,raw wastewater,composite,21,9359.BB,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,mgMDHxka2ePw
SRR25726283,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726283,SRX21450511,USA: Indiana,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,60000.0,in,raw wastewater,composite,24,11181.G,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,5SgaXQuzbQzP
SRR25757771,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,0PD00016601_08132023,,,,,,SRR25757771,SRX21480680,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,15284,oh,raw wastewater,composite,24,0PD00016601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0026344,utility provided information,bcov vaccine,18744.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,7264205.213,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0026344
SRR25726275,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726275,SRX21450519,USA: Florida,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,59587.0,fl,raw wastewater,composite,24,10786.M,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,96ePe4jYzi9r
SRR25726298,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726298,SRX21450496,USA: Florida,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,463672.0,fl,raw wastewater,composite,24,10786.N,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,6rtqdVKui6Fi
SRR25724519,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25724519,SRX21448628,USA: Pennsylvania,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,28809.0,pa,raw wastewater,composite,24,6628.B,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,j7RuqjsQ5eKs
SRR25726390,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726390,SRX21450404,USA: Illinois,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,240000.0,il,raw wastewater,composite,24,11158.D,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GqncDDawwjwF
SRR25726450,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726450,SRX21450344,USA: Hawaii,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,20800.0,hi,raw wastewater,composite,22,8270.AB,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,ZLYnFS4rqWBX
SRR25726239,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726239,SRX21450555,USA: Texas,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,170000.0,tx,raw wastewater,composite,24,11010.E,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,fyiHNrJQTnB2
SRR25757706,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,3PE00000_08132023,,,,,,SRR25757706,SRX21480745,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,85000,oh,raw wastewater,composite,24,3PE00000_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0024350,utility provided information,bcov vaccine,23326.5,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,113486645.3,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0024350
SRR25726260,,,,,,,,,,2023-08-13,,,,,,,,,,,,,,,,,SRR25726260,SRX21450534,USA: Indiana,wastewater,Biobot Analytics,public health surveillance community-level,wastewater treatment plant,67500.0,in,raw wastewater,composite,24,8377.H,Pasteurized; virus captured with Ceres NanoTrap particles; nucleic acid extracted with MagMAX DNA/RNA binding beads,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,SARS-CoV-2,yes,Ginkgo Bioworks clinical laboratory,SARS-CoV-2: wastewater surveillance,ARTIC V5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,GxzkGFMUdGbM
SRR25757769,,,,,,,,,,2023-08-13,,,,,,,,,,GenomeTrakr; LFFM ww project,0PE00000601_08132023,,,,,,SRR25757769,SRX21480682,USA: Ohio,wastewater,Ohio Department of Health,public health surveillance community-level,wastewater treatment plant,47500,oh,raw wastewater,composite,24,0PE00000601_08132023,,ceres nanotrap,qiagen allprep powerviral dna/rna kit,SARS-CoV-2,yes,The Ohio State University Infectious Diseases Institute,SARS-CoV-2: wastewater surveillance,ARTIC V4.1,,,OH0028240,utility provided information,bcov vaccine,20000.0,copies/L,N gene (N2),GT-Digital SARS-CoV-2 Wastewater Surveillance Assay For QIAcuity dPCR,24567322.48,NEBNext ARTIC SARS-CoV-2 RT-PCR Module,400,sovic.1@osu.edu,DRAGEN bcl convert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan: nan,OH0028240
