,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,collection_date,common_name,environment_(biome),environment_(feature),environment_(material),geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),geographic_location_(region_and_locality),investigation_type,project_name,sample_name,sequencing_method,sewage_type,wastewater_type,wastewater/sludge_environmental_package,rundate,experiment_id,SRA_id
ERR9862359,2022-06-20,2022-06-20,SAMEA110149878,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,05_2021_04_22,2021-04-22,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862359,ERX9407437
ERR9862434,2022-06-20,2022-06-20,SAMEA110149953,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_22,2021-04-22,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862434,ERX9407512
ERR9862760,2022-06-20,2022-06-20,SAMEA110150279,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_22,2021-04-22,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_22,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862760,ERX9407838
ERR9862506,2022-06-20,2022-06-20,SAMEA110150025,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862506,ERX9407584
ERR9862759,2022-06-20,2022-06-20,SAMEA110150278,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862759,ERX9407837
ERR9862433,2022-06-20,2022-06-20,SAMEA110149952,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862433,ERX9407511
ERR9862673,2022-06-20,2022-06-20,SAMEA110150192,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862673,ERX9407751
ERR9862358,2022-06-20,2022-06-20,SAMEA110149877,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862358,ERX9407436
ERR9862587,2022-06-20,2022-06-20,SAMEA110150106,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_04_21,2021-04-21,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_21,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862587,ERX9407665
ERR9862432,2022-06-20,2022-06-20,SAMEA110149951,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862432,ERX9407510
ERR9862672,2022-06-20,2022-06-20,SAMEA110150191,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:33Z,2022-06-20T04:17:33Z,public,19_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862672,ERX9407750
ERR9862505,2022-06-20,2022-06-20,SAMEA110150024,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862505,ERX9407583
ERR9862758,2022-06-20,2022-06-20,SAMEA110150277,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862758,ERX9407836
ERR9862357,2022-06-20,2022-06-20,SAMEA110149876,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862357,ERX9407435
ERR9862586,2022-06-20,2022-06-20,SAMEA110150105,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_04_20,2021-04-20,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_20,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862586,ERX9407664
ERR9862585,2022-06-20,2022-06-20,SAMEA110150104,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862585,ERX9407663
ERR9862431,2022-06-20,2022-06-20,SAMEA110149950,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862431,ERX9407509
ERR9862356,2022-06-20,2022-06-20,SAMEA110149875,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862356,ERX9407434
ERR9862504,2022-06-20,2022-06-20,SAMEA110150023,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862504,ERX9407582
ERR9862757,2022-06-20,2022-06-20,SAMEA110150276,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862757,ERX9407835
ERR9862671,2022-06-20,2022-06-20,SAMEA110150190,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_19,2021-04-19,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_19,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862671,ERX9407749
ERR9862430,2022-06-20,2022-06-20,SAMEA110149949,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862430,ERX9407508
ERR9862503,2022-06-20,2022-06-20,SAMEA110150022,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862503,ERX9407581
ERR9862584,2022-06-20,2022-06-20,SAMEA110150103,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,17_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862584,ERX9407662
ERR9862670,2022-06-20,2022-06-20,SAMEA110150189,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862670,ERX9407748
ERR9862756,2022-06-20,2022-06-20,SAMEA110150275,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862756,ERX9407834
ERR9862355,2022-06-20,2022-06-20,SAMEA110149874,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_18,2021-04-18,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_18,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862355,ERX9407433
ERR9862583,2022-06-20,2022-06-20,SAMEA110150102,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862583,ERX9407661
ERR9862669,2022-06-20,2022-06-20,SAMEA110150188,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862669,ERX9407747
ERR9862502,2022-06-20,2022-06-20,SAMEA110150021,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,12_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862502,ERX9407580
ERR9862429,2022-06-20,2022-06-28,SAMEA110149948,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,10_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862429,ERX9407507
ERR9862354,2022-06-20,2022-06-20,SAMEA110149873,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862354,ERX9407432
ERR9862755,2022-06-20,2022-06-20,SAMEA110150274,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_17,2021-04-17,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_17,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862755,ERX9407833
ERR9862668,2022-06-20,2022-06-20,SAMEA110150187,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862668,ERX9407746
ERR9862501,2022-06-20,2022-06-20,SAMEA110150020,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862501,ERX9407579
ERR9862428,2022-06-20,2022-06-20,SAMEA110149947,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862428,ERX9407506
ERR9862582,2022-06-20,2022-06-20,SAMEA110150101,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862582,ERX9407660
ERR9862353,2022-06-20,2022-06-20,SAMEA110149872,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,05_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.0096,8.9177,TI - Lugano - CDA Lugano,virus,Swiss SARS-CoV-2 Wastewater Surveillance,05_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862353,ERX9407431
ERR9862754,2022-06-20,2022-06-20,SAMEA110150273,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:38Z,2022-06-20T04:17:38Z,public,25_2021_04_16,2021-04-16,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_16,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862754,ERX9407832
ERR9862427,2022-06-20,2022-06-20,SAMEA110149946,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_15,2021-04-15,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_15,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862427,ERX9407505
ERR9862500,2022-06-20,2022-06-20,SAMEA110150019,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_15,2021-04-15,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_15,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862500,ERX9407578
ERR9862667,2022-06-20,2022-06-20,SAMEA110150186,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_15,2021-04-15,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_15,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862667,ERX9407745
ERR9862581,2022-06-20,2022-06-20,SAMEA110150100,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_15,2021-04-15,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_15,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862581,ERX9407659
ERR9862753,2022-06-20,2022-06-20,SAMEA110150272,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_15,2021-04-15,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_15,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862753,ERX9407831
ERR9862426,2022-06-20,2022-06-20,SAMEA110149945,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,10_2021_04_14,2021-04-14,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_14,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862426,ERX9407504
ERR9862752,2022-06-20,2022-06-20,SAMEA110150271,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,25_2021_04_14,2021-04-14,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_14,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862752,ERX9407830
ERR9862499,2022-06-20,2022-06-20,SAMEA110150018,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_14,2021-04-14,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_14,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862499,ERX9407577
ERR9862580,2022-06-20,2022-06-20,SAMEA110150099,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:37Z,2022-06-20T04:17:37Z,public,17_2021_04_14,2021-04-14,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_14,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862580,ERX9407658
ERR9862666,2022-06-20,2022-06-20,SAMEA110150185,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:32Z,2022-06-20T04:17:32Z,public,19_2021_04_14,2021-04-14,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_14,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-05-14,ERR9862666,ERX9407744
ERR9862795,2022-06-20,2022-06-20,SAMEA110150314,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:29Z,2022-06-20T04:17:29Z,public,25_2021_04_13,2021-04-13,SARS-CoV2,urban biome,city,sewage,Switzerland,46.9174,7.24057,BE - Laupen - ARA Sensetal,virus,Swiss SARS-CoV-2 Wastewater Surveillance,25_2021_04_13,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862795,ERX9407873
ERR9862805,2022-06-20,2022-06-20,SAMEA110150324,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:30Z,2022-06-20T04:17:30Z,public,19_2021_04_13,2021-04-13,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4902,9.5673,SG - Altenrhein - ARA Altenrhein,virus,Swiss SARS-CoV-2 Wastewater Surveillance,19_2021_04_13,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862805,ERX9407883
ERR9862821,2022-06-20,2022-06-20,SAMEA110150340,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,12_2021_04_13,2021-04-13,SARS-CoV2,urban biome,city,sewage,Switzerland,46.5202,6.5929,VD - Lausanne - STEP Vidy,virus,Swiss SARS-CoV-2 Wastewater Surveillance,12_2021_04_13,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862821,ERX9407899
ERR9862829,2022-06-20,2022-06-20,SAMEA110150348,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,10_2021_04_13,2021-04-13,SARS-CoV2,urban biome,city,sewage,Switzerland,47.4007,8.481,ZH - Zürich - ARA Werdhölzli,virus,Swiss SARS-CoV-2 Wastewater Surveillance,10_2021_04_13,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862829,ERX9407907
ERR9862813,2022-06-20,2022-06-20,SAMEA110150332,SIB,"Swiss Institute of Bioinformatics, Switzerland",2022-06-20T04:17:31Z,2022-06-20T04:17:31Z,public,17_2021_04_13,2021-04-13,SARS-CoV2,urban biome,city,sewage,Switzerland,46.8707,9.5293,GR - Chur - ARA Chur,virus,Swiss SARS-CoV-2 Wastewater Surveillance,17_2021_04_13,NGS Illumina xxx,municipal wastewater treatment plant,human waste,wastewater/sludge,2021-04-23,ERR9862813,ERX9407891
